Interval=	0,01 s
ExcelDateTime=	4,1975582292743056e+004	02.12.2014 13:58:30,093
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	20,000 mV
12,89	-0,774
12,9	-0,800
12,91	-0,834
12,92	-0,861
12,93	-0,875
12,94	-0,881
12,95	-0,891
12,96	-0,912
12,97	-0,940
12,98	-0,963
12,99	-0,974
13,0	-0,974
13,01	-0,971
13,02	-0,971
13,03	-0,976
13,04	-0,981
13,05	-0,980
13,06	-0,971
13,07	-0,953
13,08	-0,930
13,09	-0,907
13,1	-0,891
13,11	-0,884
13,12	-0,885
13,13	-0,886
13,14	-0,883
13,15	-0,873
13,16	-0,861
13,17	-0,849
13,18	-0,841
13,19	-0,835
13,2	-0,830
13,21	-0,826
13,22	-0,821
13,23	-0,817
13,24	-0,814
13,25	-0,814
13,26	-0,813
13,27	-0,806
13,28	-0,798
13,29	-0,792
13,3	-0,789
13,31	-0,791
13,32	-0,793
13,33	-0,794
13,34	-0,791
13,35	-0,782
13,36	-0,766
13,37	-0,738
13,38	-0,692
13,39	-0,645
13,4	-0,620
13,41	-0,620
13,42	-0,627
13,43	-0,628
13,44	-0,619
13,45	-0,605
13,46	-0,596
13,47	-0,601
13,48	-0,613
13,49	-0,621
13,5	-0,621
13,51	-0,613
13,52	-0,605
13,53	-0,601
13,54	-0,601
13,55	-0,606
13,56	-0,609
13,57	-0,605
13,58	-0,592
13,59	-0,568
13,6	-0,537
13,61	-0,508
13,62	-0,489
13,63	-0,480
13,64	-0,479
13,65	-0,476
13,66	-0,466
13,67	-0,450
13,68	-0,434
13,69	-0,421
13,7	-0,411
13,71	-0,398
13,72	-0,382
13,73	-0,362
13,74	-0,346
13,75	-0,336
13,76	-0,330
13,77	-0,326
13,78	-0,324
13,79	-0,324
13,8	-0,326
13,81	-0,331
13,82	-0,341
13,83	-0,360
13,84	-0,383
13,85	-0,407
13,86	-0,424
13,87	-0,431
13,88	-0,425
13,89	-0,399
13,9	-0,362
13,91	-0,341
13,92	-0,338
13,93	-0,338
13,94	-0,331
13,95	-0,320
13,96	-0,311
13,97	-0,309
13,98	-0,322
13,99	-0,343
14,0	-0,361
14,01	-0,370
14,02	-0,365
14,03	-0,347
14,04	-0,319
14,05	-0,285
14,06	-0,251
14,07	-0,221
14,08	-0,196
14,09	-0,173
14,1	-0,148
14,11	-0,119
14,12	-0,090
14,13	-0,064
14,14	-0,041
14,15	-0,019
14,16	0,007
14,17	0,036
14,18	0,063
14,19	0,087
14,2	0,114
14,21	0,148
14,22	0,190
14,23	0,234
14,24	0,273
14,25	0,308
14,26	0,346
14,27	0,388
14,28	0,431
14,29	0,469
14,3	0,494
14,31	0,504
14,32	0,509
14,33	0,516
14,34	0,534
14,35	0,564
14,36	0,604
14,37	0,652
14,38	0,707
14,39	0,774
14,4	0,853
14,41	0,929
14,42	0,981
14,43	1,001
14,44	1,008
14,45	1,021
14,46	1,046
14,47	1,071
14,48	1,089
14,49	1,098
14,5	1,105
14,51	1,117
14,52	1,130
14,53	1,139
14,54	1,139
14,55	1,134
14,56	1,134
14,57	1,146
14,58	1,170
14,59	1,200
14,6	1,231
14,61	1,255
14,62	1,271
14,63	1,278
14,64	1,276
14,65	1,270
14,66	1,263
14,67	1,256
14,68	1,245
14,69	1,231
14,7	1,218
14,71	1,211
14,72	1,204
14,73	1,189
14,74	1,163
14,75	1,136
14,76	1,123
14,77	1,131
14,78	1,151
14,79	1,164
14,8	1,161
14,81	1,145
14,82	1,123
14,83	1,099
14,84	1,077
14,85	1,057
14,86	1,046
14,87	1,049
14,88	1,070
14,89	1,104
14,9	1,150
14,91	1,203
14,92	1,245
14,93	1,256
14,94	1,239
