Interval=	0,01 s
ExcelDateTime=	4,1975584149664355e+004	02.12.2014 14:01:10,531
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 2
Range=	20,000 mV
15,67	3,503
15,68	3,471
15,69	3,494
15,7	3,526
15,71	3,527
15,72	3,461
15,73	3,343
15,74	3,255
15,75	3,250
15,76	3,296
15,77	3,356
15,78	3,451
15,79	3,750
15,8	4,576
15,81	5,922
15,82	7,308
15,83	8,304
15,84	8,712
15,85	8,521
15,86	7,813
15,87	6,667
15,88	5,324
15,89	4,127
15,9	3,258
15,91	2,650
15,92	2,141
15,93	1,714
15,94	1,518
15,95	1,617
15,96	1,897
15,97	2,230
15,98	2,554
15,99	2,829
16,0	3,027
16,01	3,076
16,02	2,992
16,03	2,905
16,04	2,915
16,05	3,046
16,06	3,252
16,07	3,482
16,08	3,668
16,09	3,754
16,1	3,748
16,11	3,708
16,12	3,722
16,13	3,714
16,14	3,583
16,15	3,411
16,16	3,294
16,17	3,323
16,18	3,285
16,19	3,076
16,2	3,152
16,21	3,343
16,22	3,207
16,23	3,016
16,24	3,036
16,25	3,166
16,26	3,265
16,27	3,277
16,28	3,211
16,29	3,134
16,3	3,130
16,31	3,229
16,32	3,368
16,33	3,451
16,34	3,494
16,35	3,573
16,36	3,626
16,37	3,552
16,38	3,429
16,39	3,399
16,4	3,476
16,41	3,588
16,42	3,620
16,43	3,531
16,44	3,408
16,45	3,361
16,46	3,421
16,47	3,499
16,48	3,454
16,49	3,273
16,5	3,140
16,51	3,239
16,52	3,612
16,53	4,339
16,54	5,471
16,55	6,838
16,56	8,051
16,57	8,718
16,58	8,721
16,59	8,139
16,6	7,139
16,61	5,926
16,62	4,661
16,63	3,466
16,64	2,477
16,65	1,864
16,66	1,605
16,67	1,515
16,68	1,571
16,69	1,829
16,7	2,241
16,71	2,643
16,72	2,876
16,73	2,959
16,74	2,950
16,75	2,874
16,76	2,818
16,77	2,869
16,78	3,011
16,79	3,180
16,8	3,328
16,81	3,434
